Day,virtualCash,virtualStockValue,Total,Gains,% gains
0,150000,0,150000,0,0
1,137112.57,12887.43,150000,0,0
2,124225.14,25774.86,150000,0,0
3,115876.44,34172.88,150049.32,49.32,0.032869193
4,107116.7429,43103.37,150220.1129,220.1129,0.146526917
5,97086.5092,53233.08,150319.5892,319.5892,0.212606488
6,89031.4392,61478.3,150509.7392,509.7392,0.338675226
7,87417.6492,63621.03,151038.6792,1038.6792,0.687690865
8,75213.4792,75825.2,151038.6792,1038.6792,0.687690865
9,63009.3092,88029.37,151038.6792,1038.6792,0.687690865
10,71374.1792,80126.54,151500.7192,1500.7192,0.990569027
11,63535.1192,88075.2,151610.3192,1610.3192,1.062143533
